date;hour;dayAheadPrice
2016-01-01;'00 - 01;23,86
2016-01-02;'00 - 01;22,2
2016-01-03;'00 - 01;6,99
2016-01-01;'01 - 02;22,39
2016-01-02;'01 - 02;16,57
2016-01-03;'01 - 02;-0,01
2016-01-01;'02 - 03;20,59
2016-01-02;'02 - 03;15,35
2016-01-03;'02 - 03;0,23
2016-01-01;'03 - 04;16,81
2016-01-02;'03 - 04;12,77
2016-01-03;'03 - 04;4,51
2016-01-01;'04 - 05;17,41
2016-01-02;'04 - 05;11,27
2016-01-03;'04 - 05;4,12
2016-01-01;'05 - 06;17,02
2016-01-02;'05 - 06;11,91
2016-01-03;'05 - 06;6,76
2016-01-01;'06 - 07;15,86
2016-01-02;'06 - 07;12,62
2016-01-03;'06 - 07;0,75
2016-01-01;'07 - 08;18,16
2016-01-02;'07 - 08;13,83
2016-01-03;'07 - 08;4,27
2016-01-01;'08 - 09;17,73
2016-01-02;'08 - 09;16,12
2016-01-03;'08 - 09;9,11
2016-01-01;'09 - 10;19,77
2016-01-02;'09 - 10;18,12
2016-01-03;'09 - 10;15,92
2016-01-01;'10 - 11;23,75
2016-01-02;'10 - 11;19,59
2016-01-03;'10 - 11;17,06
2016-01-01;'11 - 12;26,03
2016-01-02;'11 - 12;21,07
2016-01-03;'11 - 12;19,28
2016-01-01;'12 - 13;27,06
2016-01-02;'12 - 13;22,54
2016-01-03;'12 - 13;20,25
2016-01-01;'13 - 14;26,59
2016-01-02;'13 - 14;19,79
2016-01-03;'13 - 14;17,66
2016-01-01;'14 - 15;25,0
2016-01-02;'14 - 15;16,9
2016-01-03;'14 - 15;18,49
2016-01-01;'15 - 16;24,43
2016-01-02;'15 - 16;16,97
2016-01-03;'15 - 16;16,51
2016-01-01;'16 - 17;28,87
2016-01-02;'16 - 17;19,25
2016-01-03;'16 - 17;18,76
2016-01-01;'17 - 18;37,44
2016-01-02;'17 - 18;28,01
2016-01-03;'17 - 18;22,21
2016-01-01;'18 - 19;37,41
2016-01-02;'18 - 19;28,36
2016-01-03;'18 - 19;26,76
2016-01-01;'19 - 20;35,34
2016-01-02;'19 - 20;26,56
2016-01-03;'19 - 20;27,08
2016-01-01;'20 - 21;33,07
2016-01-02;'20 - 21;17,38
2016-01-03;'20 - 21;25,33
2016-01-01;'21 - 22;29,52
2016-01-02;'21 - 22;15,83
2016-01-03;'21 - 22;22,11
2016-01-01;'22 - 23;30,1
2016-01-02;'22 - 23;16,97
2016-01-03;'22 - 23;20,91
2016-01-01;'23 - 24;24,57
2016-01-02;'23 - 24;15,31
2016-01-03;'23 - 24;14,43
2016-01-04;'00 - 01;13,78
2016-01-05;'00 - 01;25,03
