cet_cest_timestamp;solar_capacity;solar_generation_actual;solar_profile;solar_generation_forecast;solar_forecast_error;wind_capacity;wind_generation_actual;wind_profile;wind_generation_forecast;wind_forecast_error
2016-01-01T00:00:00+0100;39021;0;0;0;0;44325;8648;0.1951;6033;2615
2016-01-01T01:00:00+0100;39021;0;0;0;0;44325;8579;0.1936;7421;1158
2016-01-01T02:00:00+0100;39021;0;0;0;0;44325;8542;0.1928;7266;1276
2016-01-01T03:00:00+0100;39021;0;0;0;0;44325;8443;0.1905;7180;1263
2016-01-01T04:00:00+0100;39021;0;0;0;0;44325;8295;0.1871;7016;1279
2016-01-01T05:00:00+0100;39021;0;0;0;0;44325;7319;0.1651;6787;532
2016-01-01T06:00:00+0100;39021;0;0;0;0;44325;6574;0.1483;6492;82
2016-01-01T07:00:00+0100;39021;0;0;0;0;44325;5624;0.1269;6058;-434
2016-01-01T08:00:00+0100;39021;137;0.0035;137;0;44325;4644;0.1048;5510;-866
2016-01-01T09:00:00+0100;39021;964;0.0248;1010;-46;44325;3733;0.0842;4924;-1191
2016-01-01T10:00:00+0100;39021;2522;0.0646;2451;71;44325;2776;0.0626;4172;-1396
2016-01-01T11:00:00+0100;39021;3768;0.0966;3815;-47;44325;1830;0.0413;3423;-1593
2016-01-01T12:00:00+0100;39021;4121;0.1056;4382;-261;44325;1287;0.029;2787;-1500
2016-01-01T13:00:00+0100;39021;3717;0.0952;3986;-269;44325;790;0.0178;2328;-1538
2016-01-01T14:00:00+0100;39021;2442;0.0626;2658;-216;44325;496;0.0112;1937;-1441
2016-01-01T15:00:00+0100;39021;841;0.0216;979;-138;44325;405;0.0091;1609;-1204
2016-01-01T16:00:00+0100;39021;51;0.0013;51;0;44325;665;0.015;1568;-903
2016-01-01T17:00:00+0100;39021;0;0;0;0;44325;1298;0.0293;1673;-375
2016-01-01T18:00:00+0100;39021;0;0;0;0;44325;2146;0.0484;1798;348
2016-01-01T19:00:00+0100;39021;0;0;0;0;44325;3371;0.0761;2070;1301
2016-01-01T20:00:00+0100;39021;0;0;0;0;44325;4383;0.0989;2725;1658
2016-01-01T21:00:00+0100;39021;0;0;0;0;44325;5409;0.122;3182;2227
2016-01-01T22:00:00+0100;39021;0;0;0;0;44325;6180;0.1394;3567;2613
2016-01-01T23:00:00+0100;39021;0;0;0;0;44325;6958;0.157;3885;3073
2016-01-02T00:00:00+0100;39022;0;0;0;0;44325;7462;0.1683;6397;1065
2016-01-02T01:00:00+0100;39022;0;0;0;0;44325;8763;0.1977;7411;1352
2016-01-02T02:00:00+0100;39022;0;0;0;0;44325;10716;0.2418;8610;2106
2016-01-02T03:00:00+0100;39022;0;0;0;0;44325;11949;0.2696;9904;2045
2016-01-02T04:00:00+0100;39022;0;0;0;0;44325;13451;0.3034;11359;2092
2016-01-02T05:00:00+0100;39022;0;0;0;0;44325;14640;0.3303;12607;2033
2016-01-02T06:00:00+0100;39022;0;0;0;0;44325;15480;0.3492;13859;1621
2016-01-02T07:00:00+0100;39022;0;0;1;-1;44325;16062;0.3624;15165;897
2016-01-02T08:00:00+0100;39022;106;0.0027;153;-47;44325;16588;0.3742;16305;283
2016-01-02T09:00:00+0100;39022;593;0.0152;940;-347;44325;17324;0.3909;17458;-134
2016-01-02T10:00:00+0100;39022;1341;0.0344;2047;-706;44325;17888;0.4035;18304;-416
2016-01-02T11:00:00+0100;39022;1866;0.0478;2911;-1045;44325;18265;0.4121;18733;-468
2016-01-02T12:00:00+0100;39022;2043;0.0524;3094;-1051;44325;18329;0.4135;19105;-776
2016-01-02T13:00:00+0100;39022;1869;0.0479;2601;-732;44325;18394;0.415;19475;-1081
2016-01-02T14:00:00+0100;39022;1178;0.0302;1628;-450;44325;18540;0.4182;20000;-1460
2016-01-02T15:00:00+0100;39022;382;0.0098;563;-181;44325;18754;0.4231;20642;-1888
2016-01-02T16:00:00+0100;39022;28;0.0007;34;-6;44325;19192;0.433;21140;-1948
