;date;hour;day_ahead_price;intraday_price;price_diff;DE_solar_generation_forecast;DE_solar_generation_actual;DE_solar_generation_error;DE_wind_generation_forecast;DE_wind_generation_actual;DE_wind_generation_error
0;01.01.2016;'00 - 01;23,86;29,34;-5,48;0;0;0;7653;8648;995
1;01.01.2016;'01 - 02;22,39;24,28;-1,89;0;0;0;7421;8579;1158
2;01.01.2016;'02 - 03;20,59;25,26;-4,67;0;0;0;7266;8542;1276
3;01.01.2016;'03 - 04;16,81;20,24;-3,43;0;0;0;7180;8443;1263
4;01.01.2016;'04 - 05;17,41;21,94;-4,53;0;0;0;7016;8295;1279
5;01.01.2016;'05 - 06;17,02;23,5;-6,48;0;0;0;6787;7319;532
6;01.01.2016;'06 - 07;15,86;21,87;-6,01;0;0;0;6492;6574;82
7;01.01.2016;'07 - 08;18,16;25,13;-6,97;0;0;0;6058;5624;-434
8;01.01.2016;'08 - 09;17,73;24,52;-6,79;137;137;0;5510;4644;-866
9;01.01.2016;'09 - 10;19,77;23,67;-3,9;1010;964;-46;4924;3733;-1191
10;01.01.2016;'10 - 11;23,75;25,64;-1,89;2451;2522;71;4172;2776;-1396
11;01.01.2016;'11 - 12;26,03;27,8;-1,77;3815;3768;-47;3423;1830;-1593
12;01.01.2016;'12 - 13;27,06;29,75;-2,69;4382;4121;-261;2787;1287;-1500
13;01.01.2016;'13 - 14;26,59;28,45;-1,86;3986;3717;-269;2328;790;-1538
14;01.01.2016;'14 - 15;25;26,42;-1,42;2658;2442;-216;1937;496;-1441
15;01.01.2016;'15 - 16;24,43;28,25;-3,82;979;841;-138;1609;405;-1204
16;01.01.2016;'16 - 17;28,87;32,49;-3,62;51;51;0;1568;665;-903
17;01.01.2016;'17 - 18;37,44;40,98;-3,54;0;0;0;1673;1298;-375
18;01.01.2016;'18 - 19;37,41;39,48;-2,07;0;0;0;1798;2146;348
19;01.01.2016;'19 - 20;35,34;34,34;1;0;0;0;2070;3371;1301
20;01.01.2016;'20 - 21;33,07;31,09;1,98;0;0;0;2725;4383;1658
21;01.01.2016;'21 - 22;29,52;27,17;2,35;0;0;0;3182;5409;2227
22;01.01.2016;'22 - 23;30,1;27,59;2,51;0;0;0;3567;6180;2613
23;01.01.2016;'23 - 24;24,57;21,6;2,97;0;0;0;3885;6958;3073
24;02.01.2016;'00 - 01;22,2;14,36;7,84;0;0;0;6397;7462;1065
25;02.01.2016;'01 - 02;16,57;13,48;3,09;0;0;0;7411;8763;1352
26;02.01.2016;'02 - 03;15,35;10,16;5,19;0;0;0;8610;10716;2106
27;02.01.2016;'03 - 04;12,77;7,77;5;0;0;0;9904;11949;2045
28;02.01.2016;'04 - 05;11,27;6,45;4,82;0;0;0;11359;13451;2092
29;02.01.2016;'05 - 06;11,91;6,38;5,53;0;0;0;12607;14640;2033
30;02.01.2016;'06 - 07;12,62;3,01;9,61;0;0;0;13859;15480;1621
31;02.01.2016;'07 - 08;13,83;6,98;6,85;1;0;-1;15165;16062;897
32;02.01.2016;'08 - 09;16,12;9,37;6,75;153;106;-47;16305;16588;283
33;02.01.2016;'09 - 10;18,12;11,83;6,29;940;593;-347;17458;17324;-134
34;02.01.2016;'10 - 11;19,59;18,85;0,74;2047;1341;-706;18304;17888;-416
35;02.01.2016;'11 - 12;21,07;27,29;-6,22;2911;1866;-1045;18733;18265;-468
36;02.01.2016;'12 - 13;22,54;29,36;-6,82;3094;2043;-1051;19105;18329;-776
37;02.01.2016;'13 - 14;19,79;28,6;-8,81;2601;1869;-732;19475;18394;-1081
38;02.01.2016;'14 - 15;16,9;30,22;-13,32;1628;1178;-450;20000;18540;-1460
39;02.01.2016;'15 - 16;16,97;27,73;-10,76;563;382;-181;20642;18754;-1888
40;02.01.2016;'16 - 17;19,25;28,75;-9,5;34;28;-6;21140;19192;-1948
41;02.01.2016;'17 - 18;28,01;38,96;-10,95;0;0;0;21661;19913;-1748
42;02.01.2016;'18 - 19;28,36;41,66;-13,3;0;0;0;22029;20215;-1814
