dateTime;day_ahead_price;intraday_price;price_diff;solar_capacity;solar_generation_actual;solar_profile;solar_generation_forecast;solar_forecast_error;wind_capacity;wind_generation_actual;wind_profile;wind_generation_forecast;wind_forecast_error
2016-01-01 00:00:00;23,86;29,34;-5,48;39021;0;0;0;0;44325;8648;0.1951;6033;2615
2016-01-01 01:00:00;22,39;24,28;-1,89;39021;0;0;0;0;44325;8579;0.1936;7421;1158
2016-01-01 02:00:00;20,59;25,26;-4,67;39021;0;0;0;0;44325;8542;0.1928;7266;1276
2016-01-01 03:00:00;16,81;20,24;-3,43;39021;0;0;0;0;44325;8443;0.1905;7180;1263
2016-01-01 04:00:00;17,41;21,94;-4,53;39021;0;0;0;0;44325;8295;0.1871;7016;1279
2016-01-01 05:00:00;17,02;23,5;-6,48;39021;0;0;0;0;44325;7319;0.1651;6787;532
2016-01-01 06:00:00;15,86;21,87;-6,01;39021;0;0;0;0;44325;6574;0.1483;6492;82
2016-01-01 07:00:00;18,16;25,13;-6,97;39021;0;0;0;0;44325;5624;0.1269;6058;-434
2016-01-01 08:00:00;17,73;24,52;-6,79;39021;137;0.0035;137;0;44325;4644;0.1048;5510;-866
2016-01-01 09:00:00;19,77;23,67;-3,9;39021;964;0.0248;1010;-46;44325;3733;0.0842;4924;-1191
2016-01-01 10:00:00;23,75;25,64;-1,89;39021;2522;0.0646;2451;71;44325;2776;0.0626;4172;-1396
2016-01-01 11:00:00;26,03;27,8;-1,77;39021;3768;0.0966;3815;-47;44325;1830;0.0413;3423;-1593
2016-01-01 12:00:00;27,06;29,75;-2,69;39021;4121;0.1056;4382;-261;44325;1287;0.029;2787;-1500
2016-01-01 13:00:00;26,59;28,45;-1,86;39021;3717;0.0952;3986;-269;44325;790;0.0178;2328;-1538
2016-01-01 14:00:00;25,0;26,42;-1,42;39021;2442;0.0626;2658;-216;44325;496;0.0112;1937;-1441
2016-01-01 15:00:00;24,43;28,25;-3,82;39021;841;0.0216;979;-138;44325;405;0.0091;1609;-1204
2016-01-01 16:00:00;28,87;32,49;-3,62;39021;51;0.0013;51;0;44325;665;0.015;1568;-903
2016-01-01 17:00:00;37,44;40,98;-3,54;39021;0;0;0;0;44325;1298;0.0293;1673;-375
2016-01-01 18:00:00;37,41;39,48;-2,07;39021;0;0;0;0;44325;2146;0.0484;1798;348
2016-01-01 19:00:00;35,34;34,34;1,0;39021;0;0;0;0;44325;3371;0.0761;2070;1301
2016-01-01 20:00:00;33,07;31,09;1,98;39021;0;0;0;0;44325;4383;0.0989;2725;1658
2016-01-01 21:00:00;29,52;27,17;2,35;39021;0;0;0;0;44325;5409;0.122;3182;2227
2016-01-01 22:00:00;30,1;27,59;2,51;39021;0;0;0;0;44325;6180;0.1394;3567;2613
2016-01-01 23:00:00;24,57;21,6;2,97;39021;0;0;0;0;44325;6958;0.157;3885;3073
2016-02-01 00:00:00;22,2;14,36;7,84;39022;0;0;0;0;44325;7462;0.1683;6397;1065
2016-02-01 01:00:00;16,57;13,48;3,09;39022;0;0;0;0;44325;8763;0.1977;7411;1352
2016-02-01 02:00:00;15,35;10,16;5,19;39022;0;0;0;0;44325;10716;0.2418;8610;2106
2016-02-01 03:00:00;12,77;7,77;5,0;39022;0;0;0;0;44325;11949;0.2696;9904;2045
2016-02-01 04:00:00;11,27;6,45;4,82;39022;0;0;0;0;44325;13451;0.3034;11359;2092
2016-02-01 05:00:00;11,91;6,38;5,53;39022;0;0;0;0;44325;14640;0.3303;12607;2033
2016-02-01 06:00:00;12,62;3,01;9,61;39022;0;0;0;0;44325;15480;0.3492;13859;1621
2016-02-01 07:00:00;13,83;6,98;6,85;39022;0;0;1;-1;44325;16062;0.3624;15165;897
2016-02-01 08:00:00;16,12;9,37;6,75;39022;106;0.0027;153;-47;44325;16588;0.3742;16305;283
2016-02-01 09:00:00;18,12;11,83;6,29;39022;593;0.0152;940;-347;44325;17324;0.3909;17458;-134
2016-02-01 10:00:00;19,59;18,85;0,74;39022;1341;0.0344;2047;-706;44325;17888;0.4035;18304;-416
2016-02-01 11:00:00;21,07;27,29;-6,22;39022;1866;0.0478;2911;-1045;44325;18265;0.4121;18733;-468
