date;hour;datetime;day_ahead_price;intraday_price;price_diff;solar_capacity;solar_generation_actual;wind_capacity;wind_generation_actual;wind_generation_forecast;solar_generation_forecast;total_generation_forecast;total_generation_actual;wind_forecast_error;solar_forecast_error;forecast_error;forecast_error_percent;wind_forecast_error_percent;solar_forecast_error_percent;pricediff_percent;season;weekday
2016-01-01;0;2016-01-01 00:00:00;23,86;29,34;-5,48;39021;0;44325;8648;6033;0;6033;8648;-2615;0;-2615;-0,43344936184319577;-0,43344936184319577;;-0,22967309304274938;0;4
2016-01-01;1;2016-01-01 01:00:00;22,39;24,28;-1,8900000000000008;39021;0;44325;8579;7421;0;7421;8579;-1158;0;-1158;-0,15604365988411265;-0,15604365988411265;;-0,08441268423403309;0;4
2016-01-01;2;2016-01-01 02:00:00;20,59;25,26;-4,670000000000002;39021;0;44325;8542;7266;0;7266;8542;-1276;0;-1276;-0,17561244150839528;-0,17561244150839528;;-0,2268091306459447;0;4
2016-01-01;3;2016-01-01 03:00:00;16,81;20,24;-3,43;39021;0;44325;8443;7180;0;7180;8443;-1263;0;-1263;-0,17590529247910863;-0,17590529247910863;;-0,2040452111838192;0;4
2016-01-01;4;2016-01-01 04:00:00;17,41;21,94;-4,530000000000001;39021;0;44325;8295;7016;0;7016;8295;-1279;0;-1279;-0,18229760547320412;-0,18229760547320412;;-0,26019529006318215;0;4
2016-01-01;5;2016-01-01 05:00:00;17,02;23,5;-6,48;39021;0;44325;7319;6787;0;6787;7319;-532;0;-532;-0,07838514807720642;-0,07838514807720642;;-0,38072855464159816;0;4
2016-01-01;6;2016-01-01 06:00:00;15,86;21,87;-6,0100000000000025;39021;0;44325;6574;6492;0;6492;6574;-82;0;-82;-0,012630930375847197;-0,012630930375847197;;-0,378940731399748;0;4
2016-01-01;7;2016-01-01 07:00:00;18,16;25,13;-6,969999999999999;39021;0;44325;5624;6058;0;6058;5624;434;0;434;0,07164080554638494;0,07164080554638494;;-0,3838105726872246;0;4
2016-01-01;8;2016-01-01 08:00:00;17,73;24,52;-6,789999999999999;39021;137;44325;4644;5510;137;5647;4781;866;0;866;0,15335576412254295;0,1571687840290381;0,0;-0,38296672306824586;0;4
2016-01-01;9;2016-01-01 09:00:00;19,77;23,67;-3,9000000000000017;39021;964;44325;3733;4924;1010;5934;4697;1191;46;1237;0,20845972362655882;0,24187652315190902;0,04554455445544554;-0,19726858877086503;0;4
2016-01-01;10;2016-01-01 10:00:00;23,75;25,64;-1,8900000000000008;39021;2522;44325;2776;4172;2451;6623;5298;1396;-71;1325;0,20006039559112185;0,3346116970278044;-0,028967768257853937;-0,07957894736842108;0;4
2016-01-01;11;2016-01-01 11:00:00;26,03;27,8;-1,7699999999999996;39021;3768;44325;1830;3423;3815;7238;5598;1593;47;1640;0,2265819287095883;0,4653812445223488;0,012319790301441678;-0,06799846331156356;0;4
2016-01-01;12;2016-01-01 12:00:00;27,06;29,75;-2,6900000000000013;39021;4121;44325;1287;2787;4382;7169;5408;1500;261;1761;0,24564095410796485;0,5382131324004306;0,05956184390689183;-0,09940872135994093;0;4
