date;hours;Low(€/MWh);High(€/MWh);Last(€/MWh);Weight. Avg.(€/MWh);Index(€/MWh);ID₃-Price(€/MWh);ID₁-Price(€/MWh);Buy Vol(MW);Sell Vol(MW)
2016-01-01;'00 - 01;23,0;38,0;36,0;29,34;29,34;29,56;;1791,7;1898,2
2016-01-01;'01 - 02;17,15;30,0;24,99;24,28;24,28;24,47;;1503,2;1512,2
2016-01-01;'02 - 03;12,0;35,0;32,85;25,26;25,26;25,58;;1532,6;1544,6
2016-01-01;'03 - 04;13,0;32,0;20,0;20,24;20,24;20,28;;1335,0;1231,4
2016-01-01;'04 - 05;14,0;34,0;30,0;21,94;21,94;22,99;;1495,4;1472,4
2016-01-01;'05 - 06;14,0;35,0;34,0;23,5;23,5;25,08;;1697,4;1591,4
2016-01-01;'06 - 07;12,0;34,0;25,11;21,87;21,87;23,68;;1947,7;1882,7
2016-01-01;'07 - 08;12,9;37,5;36,0;25,13;25,13;27,52;;2234,0;2232,7
2016-01-01;'08 - 09;17,73;41,0;31,9;24,52;24,52;26,08;;2312,0;2229,0
2016-01-01;'09 - 10;12,0;44,0;14,0;23,67;23,67;23,83;;3005,8;2842,3
2016-01-01;'10 - 11;19,27;46,0;30,0;25,64;25,64;25,22;;3230,7;2700,7
2016-01-01;'11 - 12;17,0;35,4;27,0;27,8;27,8;27,96;;3144,2;2677,3
2016-01-01;'12 - 13;13,0;37,9;37,9;29,75;29,75;30,67;;2770,2;2524,0
2016-01-01;'13 - 14;22,0;39,4;39,4;28,45;28,45;28,41;;2745,4;2317,6
2016-01-01;'14 - 15;20,0;39,0;29,7;26,42;26,42;26,06;;2254,9;2018,9
2016-01-01;'15 - 16;0,0;40,0;38,5;28,25;28,25;28,17;;1899,5;1794,5
2016-01-01;'16 - 17;25,6;56,0;49,0;32,49;32,49;31,21;;2131,2;2141,2
2016-01-01;'17 - 18;34,0;58,0;53,0;40,98;40,98;40,29;;2412,0;2353,0
2016-01-01;'18 - 19;34,27;57,0;39,9;39,48;39,48;38,71;;2598,8;2648,8
2016-01-01;'19 - 20;21,1;56,0;22,3;34,34;34,34;31,51;;2822,7;2793,4
2016-01-01;'20 - 21;16,1;55,0;27,0;31,09;31,09;28,6;;3223,1;3256,1
2016-01-01;'21 - 22;10,0;55,0;11,1;27,17;27,17;21,96;;4068,1;4097,3
2016-01-01;'22 - 23;5,1;54,0;49,0;27,59;27,59;21,14;;4098,7;4409,3
2016-01-01;'23 - 24;8,0;49,8;8,0;21,6;21,6;15,64;;3353,6;3363,1
2016-01-02;'00 - 01;10,0;35,5;15,0;14,36;14,36;14,11;;1514,1;1728,1
2016-01-02;'01 - 02;8,0;34,4;11,1;13,48;13,48;12,88;;2032,1;2115,1
2016-01-02;'02 - 03;-0,7;34,4;11,0;10,16;10,16;8,98;;2391,9;2491,0
2016-01-02;'03 - 04;0,0;33,75;0,0;7,77;7,77;6,67;;2227,8;2363,0
2016-01-02;'04 - 05;-2,5;30,0;-2,5;6,45;6,45;5,29;;2485,3;3111,1
2016-01-02;'05 - 06;0,0;24,0;10,0;6,38;6,38;6,63;;2539,6;2529,3
