date;hour;datetime;day_ahead_price;intraday_price;price_diff;solar_capacity;solar_generation_actual;wind_capacity;wind_generation_actual;wind_generation_forecast;solar_generation_forecast
2016-01-01;00;2016-01-01 00:00:00;23,86;29,34;-5,48;39021;0;44325;8648;6033;0
2016-01-01;01;2016-01-01 01:00:00;22,39;24,28;-1,8900000000000006;39021;0;44325;8579;7421;0
2016-01-01;02;2016-01-01 02:00:00;20,59;25,26;-4,670000000000002;39021;0;44325;8542;7266;0
2016-01-01;03;2016-01-01 03:00:00;16,81;20,24;-3,4299999999999997;39021;0;44325;8443;7180;0
2016-01-01;04;2016-01-01 04:00:00;17,41;21,94;-4,530000000000001;39021;0;44325;8295;7016;0
2016-01-01;05;2016-01-01 05:00:00;17,02;23,5;-6,48;39021;0;44325;7319;6787;0
2016-01-01;06;2016-01-01 06:00:00;15,86;21,87;-6,010000000000002;39021;0;44325;6574;6492;0
2016-01-01;07;2016-01-01 07:00:00;18,16;25,13;-6,969999999999999;39021;0;44325;5624;6058;0
2016-01-01;08;2016-01-01 08:00:00;17,73;24,52;-6,789999999999999;39021;137;44325;4644;5510;137
2016-01-01;09;2016-01-01 09:00:00;19,77;23,67;-3,900000000000002;39021;964;44325;3733;4924;1010
2016-01-01;10;2016-01-01 10:00:00;23,75;25,64;-1,8900000000000006;39021;2522;44325;2776;4172;2451
2016-01-01;11;2016-01-01 11:00:00;26,03;27,8;-1,7699999999999996;39021;3768;44325;1830;3423;3815
2016-01-01;12;2016-01-01 12:00:00;27,06;29,75;-2,6900000000000013;39021;4121;44325;1287;2787;4382
2016-01-01;13;2016-01-01 13:00:00;26,59;28,45;-1,8599999999999994;39021;3717;44325;790;2328;3986
2016-01-01;14;2016-01-01 14:00:00;25,0;26,42;-1,4200000000000017;39021;2442;44325;496;1937;2658
2016-01-01;15;2016-01-01 15:00:00;24,43;28,25;-3,8200000000000003;39021;841;44325;405;1609;979
2016-01-01;16;2016-01-01 16:00:00;28,87;32,49;-3,620000000000001;39021;51;44325;665;1568;51
2016-01-01;17;2016-01-01 17:00:00;37,44;40,98;-3,539999999999999;39021;0;44325;1298;1673;0
2016-01-01;18;2016-01-01 18:00:00;37,41;39,48;-2,0700000000000003;39021;0;44325;2146;1798;0
2016-01-01;19;2016-01-01 19:00:00;35,34;34,34;1,0;39021;0;44325;3371;2070;0
2016-01-01;20;2016-01-01 20:00:00;33,07;31,09;1,9800000000000004;39021;0;44325;4383;2725;0
2016-01-01;21;2016-01-01 21:00:00;29,52;27,17;2,349999999999998;39021;0;44325;5409;3182;0
2016-01-01;22;2016-01-01 22:00:00;30,1;27,59;2,5100000000000016;39021;0;44325;6180;3567;0
2016-01-01;23;2016-01-01 23:00:00;24,57;21,6;2,969999999999999;39021;0;44325;6958;3885;0
2016-01-02;00;2016-01-02 00:00:00;22,2;14,36;7,84;39022;0;44325;7462;6397;0
2016-01-02;01;2016-01-02 01:00:00;16,57;13,48;3,09;39022;0;44325;8763;7411;0
2016-01-02;02;2016-01-02 02:00:00;15,35;10,16;5,1899999999999995;39022;0;44325;10716;8610;0
2016-01-02;03;2016-01-02 03:00:00;12,77;7,77;5,0;39022;0;44325;11949;9904;0
2016-01-02;04;2016-01-02 04:00:00;11,27;6,45;4,819999999999999;39022;0;44325;13451;11359;0
2016-01-02;05;2016-01-02 05:00:00;11,91;6,38;5,53;39022;0;44325;14640;12607;0
2016-01-02;06;2016-01-02 06:00:00;12,62;3,01;9,61;39022;0;44325;15480;13859;0
2016-01-02;07;2016-01-02 07:00:00;13,83;6,98;6,85;39022;0;44325;16062;15165;1
2016-01-02;08;2016-01-02 08:00:00;16,12;9,37;6,750000000000002;39022;106;44325;16588;16305;153
