date;hour;datetime;day_ahead_price;intraday_price;price_diff;solar_capacity;solar_generation_actual;wind_capacity;wind_generation_actual;solar_generation_forecast;wind_generation_forecast;total_generation_forecast;total_generation_actual;wind_forecast_error;solar_forecast_error;forecast_error;forecast_error_percent;pricediff_percent;season
2016-01-01;01;2016-01-01 01:00:00;22,39;24,28;-1,8900000000000006;39021;0;44325;8579;0;7421;7421;8579;-1158;0;-1158;-0,15604365988411265;-0,08441268423403307;0
2016-01-01;02;2016-01-01 02:00:00;20,59;25,26;-4,670000000000002;39021;0;44325;8542;0;7266;7266;8542;-1276;0;-1276;-0,17561244150839528;-0,2268091306459447;0
2016-01-01;03;2016-01-01 03:00:00;16,81;20,24;-3,4299999999999997;39021;0;44325;8443;0;7180;7180;8443;-1263;0;-1263;-0,17590529247910863;-0,20404521118381916;0
2016-01-01;04;2016-01-01 04:00:00;17,41;21,94;-4,530000000000001;39021;0;44325;8295;0;7016;7016;8295;-1279;0;-1279;-0,18229760547320412;-0,26019529006318215;0
2016-01-01;05;2016-01-01 05:00:00;17,02;23,5;-6,48;39021;0;44325;7319;0;6787;6787;7319;-532;0;-532;-0,07838514807720642;-0,38072855464159816;0
2016-01-01;06;2016-01-01 06:00:00;15,86;21,87;-6,010000000000002;39021;0;44325;6574;0;6492;6492;6574;-82;0;-82;-0,012630930375847197;-0,37894073139974793;0
2016-01-01;07;2016-01-01 07:00:00;18,16;25,13;-6,969999999999999;39021;0;44325;5624;0;6058;6058;5624;434;0;434;0,07164080554638494;-0,3838105726872246;0
2016-01-01;08;2016-01-01 08:00:00;17,73;24,52;-6,789999999999999;39021;137;44325;4644;137;5510;5647;4781;866;0;866;0,15335576412254295;-0,38296672306824586;0
2016-01-01;09;2016-01-01 09:00:00;19,77;23,67;-3,900000000000002;39021;964;44325;3733;1010;4924;5934;4697;1191;46;1237;0,20845972362655882;-0,19726858877086506;0
2016-01-01;10;2016-01-01 10:00:00;23,75;25,64;-1,8900000000000006;39021;2522;44325;2776;2451;4172;6623;5298;1396;-71;1325;0,20006039559112185;-0,07957894736842108;0
