date;hour;day_ahead_price;intraday_price;price_diff
2016-01-01;'00 - 01;23,86;29,34;-5,48
2016-01-01;'01 - 02;22,39;24,28;-1,8900000000000006
2016-01-01;'02 - 03;20,59;25,26;-4,670000000000002
2016-01-01;'03 - 04;16,81;20,24;-3,4299999999999997
2016-01-01;'04 - 05;17,41;21,94;-4,530000000000001
2016-01-01;'05 - 06;17,02;23,5;-6,48
2016-01-01;'06 - 07;15,86;21,87;-6,010000000000002
2016-01-01;'07 - 08;18,16;25,13;-6,969999999999999
2016-01-01;'08 - 09;17,73;24,52;-6,789999999999999
2016-01-01;'09 - 10;19,77;23,67;-3,900000000000002
2016-01-01;'10 - 11;23,75;25,64;-1,8900000000000006
2016-01-01;'11 - 12;26,03;27,8;-1,7699999999999996
2016-01-01;'12 - 13;27,06;29,75;-2,6900000000000013
2016-01-01;'13 - 14;26,59;28,45;-1,8599999999999994
2016-01-01;'14 - 15;25,0;26,42;-1,4200000000000017
2016-01-01;'15 - 16;24,43;28,25;-3,8200000000000003
2016-01-01;'16 - 17;28,87;32,49;-3,620000000000001
2016-01-01;'17 - 18;37,44;40,98;-3,539999999999999
2016-01-01;'18 - 19;37,41;39,48;-2,0700000000000003
2016-01-01;'19 - 20;35,34;34,34;1,0
2016-01-01;'20 - 21;33,07;31,09;1,9800000000000004
2016-01-01;'21 - 22;29,52;27,17;2,349999999999998
2016-01-01;'22 - 23;30,1;27,59;2,5100000000000016
2016-01-01;'23 - 24;24,57;21,6;2,969999999999999
2016-01-02;'00 - 01;22,2;14,36;7,84
2016-01-02;'01 - 02;16,57;13,48;3,09
2016-01-02;'02 - 03;15,35;10,16;5,1899999999999995
2016-01-02;'03 - 04;12,77;7,77;5,0
2016-01-02;'04 - 05;11,27;6,45;4,819999999999999
2016-01-02;'05 - 06;11,91;6,38;5,53
2016-01-02;'06 - 07;12,62;3,01;9,61
2016-01-02;'07 - 08;13,83;6,98;6,85
2016-01-02;'08 - 09;16,12;9,37;6,750000000000002
2016-01-02;'09 - 10;18,12;11,83;6,290000000000001
2016-01-02;'10 - 11;19,59;18,85;0,7399999999999984
2016-01-02;'11 - 12;21,07;27,29;-6,219999999999999
2016-01-02;'12 - 13;22,54;29,36;-6,82
2016-01-02;'13 - 14;19,79;28,6;-8,810000000000002
2016-01-02;'14 - 15;16,9;30,22;-13,32
2016-01-02;'15 - 16;16,97;27,73;-10,760000000000002
2016-01-02;'16 - 17;19,25;28,75;-9,5
2016-01-02;'17 - 18;28,01;38,96;-10,95
2016-01-02;'18 - 19;28,36;41,66;-13,299999999999997
2016-01-02;'19 - 20;26,56;38,3;-11,739999999999998
2016-01-02;'20 - 21;17,38;31,65;-14,27
2016-01-02;'21 - 22;15,83;29,08;-13,249999999999998
2016-01-02;'22 - 23;16,97;32,61;-15,64
2016-01-02;'23 - 24;15,31;25,18;-9,87
2016-01-03;'00 - 01;6,99;20,44;-13,450000000000001
2016-01-03;'01 - 02;-0,01;15,81;-15,82
2016-01-03;'02 - 03;0,23;17,87;-17,64
2016-01-03;'03 - 04;4,51;15,08;-10,57
2016-01-03;'04 - 05;4,12;11,55;-7,430000000000001
2016-01-03;'05 - 06;6,76;14,16;-7,4
2016-01-03;'06 - 07;0,75;14,69;-13,94
2016-01-03;'07 - 08;4,27;14,02;-9,75
2016-01-03;'08 - 09;9,11;20,93;-11,82
2016-01-03;'09 - 10;15,92;25,0;-9,08
2016-01-03;'10 - 11;17,06;27,33;-10,27
2016-01-03;'11 - 12;19,28;29,2;-9,919999999999998
2016-01-03;'12 - 13;20,25;26,54;-6,289999999999999
2016-01-03;'13 - 14;17,66;25,77;-8,11
2016-01-03;'14 - 15;18,49;24,03;-5,540000000000003
2016-01-03;'15 - 16;16,51;22,31;-5,799999999999997
2016-01-03;'16 - 17;18,76;26,72;-7,959999999999997
2016-01-03;'17 - 18;22,21;38,84;-16,630000000000003
2016-01-03;'18 - 19;26,76;41,61;-14,849999999999998
2016-01-03;'19 - 20;27,08;38,94;-11,86
2016-01-03;'20 - 21;25,33;38,03;-12,700000000000003
2016-01-03;'21 - 22;22,11;32,32;-10,21
2016-01-03;'22 - 23;20,91;33,33;-12,419999999999998
2016-01-03;'23 - 24;14,43;30,73;-16,3
2016-01-04;'00 - 01;13,78;23,63;-9,85
2016-01-04;'01 - 02;12,77;24,03;-11,260000000000002
2016-01-04;'02 - 03;10,56;22,8;-12,24
2016-01-04;'03 - 04;3,87;19,33;-15,459999999999997
2016-01-04;'04 - 05;3,2;16,23;-13,030000000000001
2016-01-04;'05 - 06;8,67;24,19;-15,520000000000001
2016-01-04;'06 - 07;18,01;37,74;-19,73
2016-01-04;'07 - 08;28,52;45,73;-17,209999999999997
2016-01-04;'08 - 09;34,74;48,78;-14,04
2016-01-04;'09 - 10;33,46;47,22;-13,759999999999998
2016-01-04;'10 - 11;33,24;47,98;-14,739999999999995
2016-01-04;'11 - 12;35,09;48,73;-13,639999999999993
2016-01-04;'12 - 13;35,0;48,48;-13,479999999999997
2016-01-04;'13 - 14;35,0;49,27;-14,270000000000003
2016-01-04;'14 - 15;34,94;50,87;-15,93
2016-01-04;'15 - 16;34,92;50,8;-15,879999999999995
2016-01-04;'16 - 17;38,0;51,52;-13,520000000000003
2016-01-04;'17 - 18;41,21;58,2;-16,990000000000002
2016-01-04;'18 - 19;42,95;56,2;-13,25
2016-01-04;'19 - 20;41,96;53,17;-11,21
2016-01-04;'20 - 21;34,94;44,74;-9,800000000000004
2016-01-04;'21 - 22;30,66;39,72;-9,059999999999999
2016-01-04;'22 - 23;30,0;38,23;-8,229999999999997
2016-01-04;'23 - 24;23,9;31,15;-7,25
