cet_cest_timestamp;DE_solar_generation_forecast;DE_solar_generation_actual;DE_solar_generation_error;DE_wind_generation_forecast;DE_wind_generation_actual;DE_wind_generation_error
2016-01-01T00:00:00+0100;0;0;0;7653;8648;995
2016-01-01T01:00:00+0100;0;0;0;7421;8579;1158
2016-01-01T02:00:00+0100;0;0;0;7266;8542;1276
2016-01-01T03:00:00+0100;0;0;0;7180;8443;1263
2016-01-01T04:00:00+0100;0;0;0;7016;8295;1279
2016-01-01T05:00:00+0100;0;0;0;6787;7319;532
2016-01-01T06:00:00+0100;0;0;0;6492;6574;82
2016-01-01T07:00:00+0100;0;0;0;6058;5624;-434
2016-01-01T08:00:00+0100;137;137;0;5510;4644;-866
2016-01-01T09:00:00+0100;1010;964;-46;4924;3733;-1191
2016-01-01T10:00:00+0100;2451;2522;71;4172;2776;-1396
2016-01-01T11:00:00+0100;3815;3768;-47;3423;1830;-1593
2016-01-01T12:00:00+0100;4382;4121;-261;2787;1287;-1500
2016-01-01T13:00:00+0100;3986;3717;-269;2328;790;-1538
2016-01-01T14:00:00+0100;2658;2442;-216;1937;496;-1441
2016-01-01T15:00:00+0100;979;841;-138;1609;405;-1204
2016-01-01T16:00:00+0100;51;51;0;1568;665;-903
2016-01-01T17:00:00+0100;0;0;0;1673;1298;-375
2016-01-01T18:00:00+0100;0;0;0;1798;2146;348
2016-01-01T19:00:00+0100;0;0;0;2070;3371;1301
2016-01-01T20:00:00+0100;0;0;0;2725;4383;1658
2016-01-01T21:00:00+0100;0;0;0;3182;5409;2227
2016-01-01T22:00:00+0100;0;0;0;3567;6180;2613
2016-01-01T23:00:00+0100;0;0;0;3885;6958;3073
2016-01-02T00:00:00+0100;0;0;0;6397;7462;1065
2016-01-02T01:00:00+0100;0;0;0;7411;8763;1352
2016-01-02T02:00:00+0100;0;0;0;8610;10716;2106
2016-01-02T03:00:00+0100;0;0;0;9904;11949;2045
2016-01-02T04:00:00+0100;0;0;0;11359;13451;2092
2016-01-02T05:00:00+0100;0;0;0;12607;14640;2033
2016-01-02T06:00:00+0100;0;0;0;13859;15480;1621
2016-01-02T07:00:00+0100;1;0;-1;15165;16062;897
2016-01-02T08:00:00+0100;153;106;-47;16305;16588;283
2016-01-02T09:00:00+0100;940;593;-347;17458;17324;-134
2016-01-02T10:00:00+0100;2047;1341;-706;18304;17888;-416
2016-01-02T11:00:00+0100;2911;1866;-1045;18733;18265;-468
2016-01-02T12:00:00+0100;3094;2043;-1051;19105;18329;-776
2016-01-02T13:00:00+0100;2601;1869;-732;19475;18394;-1081
2016-01-02T14:00:00+0100;1628;1178;-450;20000;18540;-1460
2016-01-02T15:00:00+0100;563;382;-181;20642;18754;-1888
2016-01-02T16:00:00+0100;34;28;-6;21140;19192;-1948
2016-01-02T17:00:00+0100;0;0;0;21661;19913;-1748
2016-01-02T18:00:00+0100;0;0;0;22029;20215;-1814
2016-01-02T19:00:00+0100;0;0;0;22119;20108;-2011
2016-01-02T20:00:00+0100;0;0;0;21881;19693;-2188
2016-01-02T21:00:00+0100;0;0;0;21525;19202;-2323
2016-01-02T22:00:00+0100;0;0;0;21297;18460;-2837
2016-01-02T23:00:00+0100;0;0;0;20946;18772;-2174
2016-01-03T00:00:00+0100;0;0;0;20522;18924;-1598
2016-01-03T01:00:00+0100;0;0;0;20481;18596;-1885
2016-01-03T02:00:00+0100;0;0;0;20434;18600;-1834
2016-01-03T03:00:00+0100;0;0;0;20265;18440;-1825
2016-01-03T04:00:00+0100;0;0;0;20091;18281;-1810
2016-01-03T05:00:00+0100;0;0;0;19910;18302;-1608
2016-01-03T06:00:00+0100;0;0;0;19785;18422;-1363
2016-01-03T07:00:00+0100;1;0;-1;19670;18190;-1480
2016-01-03T08:00:00+0100;131;66;-65;19571;17751;-1820
